#{"t_start": 1712703587.342561, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.022615,999,19.457219
-4.797771,999,42.042507
-17.21308,999,64.760209
93.597421,194,69.089388
89.180996,284,75.988236
91.71722,297,82.778185
92.032328,338,91.720911
94.236757,200,96.43447
89.846825,587,108.866462
81.119798,391,118.203994
84.222093,361,127.103156
77.985009,439,138.279445
74.053379,463,154.592925
92.513344,140,158.191115
90.330667,184,161.572015
94.590308,93,163.747021
90.917599,206,168.522898
81.163495,389,176.578899
85.652957,274,182.414274
72.015969,532,193.878481
67.259732,427,203.508215
82.119635,224,207.874655
53.313558,589,222.125823
60.723152,518,233.338609
71.437,393,241.309331
56.489284,815,261.161754
84.813427,355,268.928878
92.020002,274,275.754756
83.837336,358,284.473356
70.601499,560,299.393694
85.714307,272,306.517197
89.12654,210,311.211578
89.367841,167,314.792888
94.43105,79,317.102965
95.093658,85,319.065898
89.911229,165,323.570194
88.727941,165,327.706663
65.786105,424,337.967447
93.264872,88,340.579258
93.805208,85,342.023439
93.421811,87,344.421472
91.730892,142,348.169294
60.114944,478,360.540983
93.54597,83,362.742118
93.071665,91,365.60028
92.005153,103,368.583595
92.426104,95,371.481494
93.966888,77,374.230224
93.001158,90,376.546788
93.075266,82,379.432364
94.404708,73,381.390364
93.56982,80,383.798381
93.917701,71,385.785609
94.690986,74,387.598078
94.330011,74,390.20678
93.988016,70,392.203066
93.854686,74,394.94312
94.005652,72,396.973541
94.056372,70,398.914977
94.130006,68,401.158875
93.828537,68,403.059475
94.930968,72,405.235216
93.97971,68,407.292152
94.528736,68,409.354462
94.233512,67,411.34087
90.263245,145,416.006928
91.857618,93,418.873097
94.152568,79,421.018747
94.268601,68,422.818227
93.732375,74,425.71028
94.439293,67,427.623029
92.940826,130,431.184524
94.304332,72,433.082722
94.154477,68,435.04124
94.122627,67,436.864007
94.214685,70,438.598568
94.027821,70,441.380804
94.099794,81,443.581207
93.87406,76,446.402707
94.794037,69,448.569045
94.847656,75,450.597243
94.952968,69,452.559929
93.727795,78,455.794688
93.984597,85,457.984838
94.433238,71,460.771881
94.553695,72,462.758047
94.789772,71,465.194189
94.826088,71,467.128885
95.223793,76,469.336403
94.690956,73,471.426237
94.549302,81,473.268509
94.148851,77,475.863628
92.69339,96,478.23563
92.640814,92,480.855926
93.135504,85,482.885689
93.529438,82,485.498504
94.014075,81,487.770138
93.707912,80,490.492257
92.810855,82,493.297671
91.439087,96,496.176131
93.160042,82,498.193713
92.723141,85,501.004107
92.356094,90,503.912792
92.665785,90,506.055059
92.24213,91,509.084361
92.736529,86,511.964382
92.153904,91,514.823772
93.104769,83,516.848136
91.844071,91,519.730598
91.842035,90,522.654286
92.169906,85,525.512227
92.904315,81,527.624542
92.706319,84,530.615898
92.062192,87,533.356248
92.601382,84,535.389366
92.549982,83,537.99896
92.671957,85,539.930097
93.104766,80,542.513057
92.429528,86,545.030281
93.17977,80,547.102422
93.595055,79,549.563803
92.700964,83,551.752691
92.76635,83,554.568875
93.101476,81,556.758441
93.101182,80,559.375942
92.431401,84,561.400793
92.73077,80,564.558502
92.80636,84,567.373531
93.27968,82,569.60164
92.54361,83,572.408092
92.791393,82,574.626269
92.609101,82,577.600213
92.755605,82,580.087939
92.656185,88,583.082182
92.833189,80,586.03828
92.753531,81,588.773241
93.331751,81,591.713757
93.222337,79,593.893018
93.077429,81,596.705378
92.878813,80,599.095311
93.685789,81,601.929881
92.613122,82,603.9169
92.846825,83,606.417537
93.783641,75,608.456759
92.831983,81,611.032678
92.876905,82,614.169723
92.523714,84,617.688008
92.115868,87,621.130695
92.802742,82,623.333135
92.747735,80,626.013499
92.504324,83,628.190639
92.998294,80,630.799174
92.882623,80,632.624521
92.519597,86,635.152831
92.72518,81,637.722736
93.109703,77,639.65608
92.605941,81,641.659657
92.561065,84,644.017861
92.834344,82,646.469545
92.984478,79,648.291687
92.553723,79,650.849081
93.070341,80,652.682986
88.903708,142,657.851314
89.54552,117,660.734127
90.276532,120,663.98154
-91.716508,999,684.326026
71.150041,340,691.83091
-90.597908,999,713.675352
40.664874,687,727.584958
31.769006,771,745.311196
-92.305124,999,765.204558
17.24029,926,786.78066
90.681295,112,789.273211
